duration_seconds,packets_per_second,bytes_per_second,src2dst_packets_per_second,dst2src_packets_per_second,src2dst_bytes_per_second,dst2src_bytes_per_second,label
6.007,106.7088396870318,106724.32162477111,38.45513567504578,68.25370401198602,1764.4414849342436,104959.88013983687,proxy
9.134,97.87606744033282,92988.83293190278,59.5576965185023,38.31837092183052,92610.02846507553,378.80446682723885,proxy
2.06,10.679611650485437,2525.7281553398057,4.854368932038835,5.825242718446602,2318.9320388349515,206.79611650485435,proxy
9.143,55.12413868533304,48509.24204309307,31.608881111232634,23.515257574100403,48509.24204309307,0.0,proxy
8.991,35.70236903570237,31231.23123123123,20.131242353464575,15.571126682237795,31231.23123123123,0.0,proxy
9.153,33.10390036053753,30666.338905276956,18.900906806511525,14.202993554026001,29906.369496339998,759.9694089369606,proxy
9.16,57.532751091703055,51766.92139737991,33.29694323144105,24.235807860262007,51387.22707423581,379.69432314410477,proxy
0.094,53.191489361702125,1393.6170212765958,31.914893617021278,21.27659574468085,1393.6170212765958,0.0,proxy
2.817,6.034788782392616,2274.0504082357115,2.4849130280440184,3.5498757543485975,1944.9769258075967,329.07348242811497,proxy
5.769,111.28445137805512,110890.62229155832,40.90830299878662,70.3761483792685,1802.9121164846592,109087.71017507366,proxy
0.231,913.4199134199134,803865.8008658008,532.4675324675325,380.9523809523809,803865.8008658008,0.0,proxy
0.229,43.66812227074236,4078.602620087336,17.46724890829694,26.200873362445414,3157.2052401746723,921.3973799126637,proxy
0.648,361.1111111111111,365029.3209876543,137.34567901234567,223.76543209876542,10898.148148148148,354131.1728395062,proxy
0.298,26.845637583892618,4402.684563758389,13.422818791946309,13.422818791946309,3697.9865771812083,704.6979865771813,proxy
0.085,58.8235294117647,1541.1764705882351,35.29411764705882,23.52941176470588,1541.1764705882351,0.0,proxy
0.105,47.61904761904762,1247.6190476190477,28.571428571428573,19.047619047619047,1247.6190476190477,0.0,proxy
8.209,31.428919478621026,25610.914849555367,17.17626994761847,14.25264953100256,25610.914849555367,0.0,proxy
0.483,12.422360248447205,391.304347826087,8.281573498964804,4.140786749482402,391.304347826087,0.0,proxy
6.808,91.65687426556993,95501.17508813161,33.78378378378378,57.873090481786136,1555.0822561692128,93946.09283196239,proxy
5.577,42.85458131611978,43302.133763672224,16.675632060247445,26.178949255872332,1899.4082840236686,41402.72547964856,proxy
0.264,34.090909090909086,8571.969696969696,15.15151515151515,18.939393939393938,7761.363636363636,810.6060606060606,proxy
6.76,109.31952662721893,116313.90532544379,35.650887573964496,73.66863905325444,1567.3076923076924,114746.5976331361,proxy
0.105,47.61904761904762,1247.6190476190477,28.571428571428573,19.047619047619047,1247.6190476190477,0.0,proxy
0.105,47.61904761904762,1247.6190476190477,28.571428571428573,19.047619047619047,1247.6190476190477,0.0,proxy
7.703,58.678436972608075,50286.90120732182,33.36362456185901,25.31481241074906,50286.90120732182,0.0,proxy
0.093,53.763440860215056,1408.6021505376343,32.25806451612903,21.50537634408602,1408.6021505376343,0.0,proxy
0.464,21.551724137931032,7534.482758620689,10.775862068965516,10.775862068965516,7075.431034482758,459.051724137931,proxy
0.103,48.54368932038835,1271.8446601941748,29.12621359223301,19.417475728155342,1271.8446601941748,0.0,proxy
8.023,53.346628443225725,50109.809298267486,20.81515642527733,32.5314720179484,1321.076903901284,48788.7323943662,proxy
0.041,121.95121951219512,3195.121951219512,73.17073170731707,48.78048780487805,3195.121951219512,0.0,proxy
0.042,119.04761904761904,3119.047619047619,71.42857142857143,47.61904761904761,3119.047619047619,0.0,proxy
0.042,119.04761904761904,3119.047619047619,71.42857142857143,47.61904761904761,3119.047619047619,0.0,proxy
5.336,119.00299850074961,122141.67916041978,42.72863568215892,76.2743628185907,2598.2008995502247,119543.47826086955,proxy
0.405,27.160493827160494,5646.913580246914,12.345679012345679,14.814814814814813,5118.518518518518,528.395061728395,proxy
0.322,720.4968944099379,699661.4906832298,267.0807453416149,453.41614906832297,10965.83850931677,688695.652173913,proxy
1.047,195.79751671442216,225790.83094555876,64.94746895893029,130.8500477554919,6744.985673352436,219045.84527220632,proxy
0.209,38.27751196172249,1358.8516746411483,23.923444976076556,14.354066985645934,1009.5693779904307,349.28229665071774,proxy
0.996,65.26104417670683,57831.32530120482,39.1566265060241,26.104417670682732,57831.32530120482,0.0,proxy
0.228,855.2631578947368,828789.4736842104,561.4035087719298,293.859649122807,828789.4736842104,0.0,proxy
2.321,104.69625161568288,102433.43386471347,37.483843171046956,67.21240844463593,3042.6540284360185,99390.77983627746,proxy
7.074,71.2468193384224,91533.22024314391,47.21515408538309,24.0316652530393,90534.77523324851,998.4450098953916,proxy
0.055,90.9090909090909,3218.181818181818,54.54545454545455,36.36363636363637,1327.2727272727273,1890.909090909091,proxy
7.134,110.03644519203812,114231.28679562657,39.24866834875245,70.78777684328567,1484.861227922624,112746.42556770395,proxy
6.299,123.19415780282584,125455.94538815685,46.19780917605969,76.99634862676615,1651.2144784886489,123804.7309096682,proxy
2.235,5.369127516778524,1104.6979865771814,3.131991051454139,2.237136465324385,980.3131991051455,124.3847874720358,proxy
0.441,18.140589569160998,3210.8843537414964,9.070294784580499,9.070294784580499,2732.426303854875,478.4580498866213,proxy
0.333,18.01801801801802,6174.1741741741735,9.00900900900901,9.00900900900901,5636.6366366366365,537.5375375375376,proxy
6.56,195.1219512195122,203005.33536585368,67.53048780487805,127.59146341463415,1119.2073170731708,201886.1280487805,proxy
4.288,56.66977611940298,56551.30597014925,21.455223880597014,35.214552238805965,2470.382462686567,54080.923507462685,proxy
1.155,9.523809523809524,3922.077922077922,3.463203463203463,6.0606060606060606,3768.8311688311687,153.24675324675323,proxy
6.347,97.84149992122262,102347.88088860878,37.49803056562155,60.343469355601066,1669.2925791712619,100678.58830943752,proxy
6.537,94.69175462750498,99838.15205751875,34.72540920911733,59.96634541838764,1590.6379072969253,98247.51415022182,proxy
0.24,37.5,8754.166666666668,16.666666666666668,20.833333333333336,7862.5,891.6666666666667,proxy
1.411,169.3834160170092,168178.59673990076,62.367115520907156,107.01630049610205,4912.827781715096,163265.76895818568,proxy
0.963,62.30529595015577,55327.10280373832,36.3447559709242,25.96053997923157,55327.10280373832,0.0,proxy
1.452,13.085399449035814,3339.5316804407717,6.198347107438017,6.887052341597796,3046.8319559228653,292.69972451790636,proxy
7.828,66.1727133367399,62811.70158405723,25.42156361778232,40.751149718957585,1353.9856923863056,61457.71589167092,proxy
0.534,20.599250936329586,5636.7041198501865,9.363295880149812,11.235955056179774,5237.827715355805,398.876404494382,proxy
8.865,41.39875916525663,33061.703327693176,22.447828539199097,18.95093062605753,32669.37394247039,392.32938522278624,proxy
0.036,138.88888888888889,3638.888888888889,83.33333333333334,55.55555555555556,3638.888888888889,0.0,proxy
0.038,131.57894736842107,3447.3684210526317,78.94736842105263,52.631578947368425,3447.3684210526317,0.0,proxy
2.052,111.11111111111111,115203.70370370371,40.93567251461988,70.17543859649123,3441.520467836257,111762.18323586744,proxy
0.247,36.43724696356276,8255.06072874494,16.194331983805668,20.242914979757085,7388.663967611336,866.3967611336033,proxy
